N,P,K,temperature,humidity,ph,rainfall,NuContAvailable,AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),soil Type
82,31,48,14.61,40.09,5.62,625.3,"N,P,K",53.29,19.32,16.38,21.14,Alluvial
92,41,39,22.04,86.12,6.95,948.42,"N,P,K",77.52,68.59,42.66,15.13,lime soil
48,39,27,36.78,48.01,7.69,659.28,"P,K",78.39,86.9,30.3,56.88,Red Soil
16,33,54,16.16,57.87,5.76,877.92,"N,P,K",43.23,10.37,46.11,23.75,Red Soil
72,33,11,22.66,46.76,6.99,569.18,"N,P,K",77.17,29.69,48.16,27.91,Alluvial
16,13,27,29.59,64.52,7.88,372.93,"N,P,K",42.71,66.65,32.66,22.97,sandy
70,40,36,21.44,75.43,5.8,631.82,"N,P,K",74.71,77.36,35.04,11.11,Alluvial
83,22,57,28.57,89.91,6.41,936.45,"N,P,K",64.46,42.02,21.57,55.47,Alluvial
73,35,22,29.7,87.71,7.21,830.83,"N,P",66.89,36.67,31.09,24.42,silt
24,39,21,27.59,85.96,7.84,531.95,"N,P,K",45.73,79.97,15.75,8.66,Loam
73,32,26,28.91,55.05,6.9,961.7,"N,P,K",71.06,14.36,7.45,23.89,black
98,34,26,26.42,84.35,7.1,511.72,"N,P",45.32,55.05,31.43,37.32,Red Soil
77,30,34,30.44,63.04,6.95,564.27,"N,P,K",43.81,76.19,38.61,51.3,sandy
88,15,44,12.07,54.14,5.64,615.68,"N,P,K",73.25,51.06,20.6,34.21,Loam
57,33,39,22.34,73.38,6.08,576.86,N,72.8,77.18,11.89,19.17,silt
11,30,24,22.32,79.69,7.34,314.7,"N,P",79.19,63.44,39.5,49.99,sandy
91,17,22,27.72,44.73,7.16,728.27,"N,P,K",64.94,67.4,48.2,20.56,black
79,35,24,13.48,70.61,7.57,756.81,"N,P,K",57.97,95.5,43.05,35.11,silt
11,12,42,11.38,86.64,7.85,713.61,"N,P,K",40.16,33.37,42.9,5.37,Red Soil
95,22,54,38,61.22,6.48,367.52,"N,P,K",42.22,81.29,48.35,31.09,Alluvial
81,41,53,38.04,50.31,6.27,306.47,"N,P,K",47.86,79.55,32.02,21.02,Alluvial
15,35,24,26.99,43.07,5.96,487.97,"N,P",67.06,83.51,40.58,26.39,Red Soil
64,14,43,18.13,71.23,6.75,409.14,"N,P,K",72.41,97.14,38.67,51.46,Alluvial
72,34,19,23.14,67.22,7.84,562.16,"N,P,K",51.38,49.84,48.99,47.37,Red Soil
95,46,20,34.11,63.43,5.69,906.16,"N,P,K",64.66,63.89,21.74,43.41,silt
85,11,35,39.03,67.86,7.61,298.57,"N,P,K",78.71,19.13,17.89,10.56,Red Soil
20,15,47,30.86,77.62,5.67,259.39,"N,P,K",45.16,82.12,32.91,53.55,Alluvial
67,8,7,21.56,57.04,6.14,398.57,"N,P,K",74.23,10.33,39.84,49.97,lime soil
72,27,34,34.43,67.52,7.36,389.88,"N,P",41.92,41.01,12.12,55.2,sandy
62,12,46,32.7,56.89,5.8,442.67,"N,P",46.31,89.26,18.25,54.36,Alluvial
27,46,9,29.76,56.37,6.02,841.66,"N,P,K",40.36,16.03,21.79,30.73,sandy
53,27,46,28.41,44.51,5.92,306.88,"N,K",71.18,16.98,38.98,22.95,Red Soil
73,20,47,27.12,76.25,6.21,498.34,"N,P,K",78.92,96.09,37.42,33.01,silt
94,34,9,35.05,40.56,5.61,630.44,"N,P,K",61.41,17.25,15.19,15.1,lime soil
68,34,34,24.81,43.87,7.73,672.25,N,78.9,82.38,30.74,54.42,Alluvial
10,38,8,23.82,49.06,7.92,762.48,"N,P,K",65.22,11.02,19.13,10.14,Clay
37,14,39,18.45,51.61,6.24,639.47,"N,P,K",79.82,20.89,20.23,39.47,Loam
28,30,41,21.19,55.05,5.72,568.18,"N,P,K",75.38,80.51,46.98,33.63,silt
95,46,57,15.81,57.47,6.98,600.8,"N,P,K",79.44,15.97,29.42,47.96,lime soil
31,44,49,38.7,62.73,6.6,787.83,N,65.44,63.47,45.19,27.66,silt
53,23,32,14.19,40.13,6.13,267.06,"N,P,K",65.83,83.67,42.08,17.37,Loam
99,49,49,31.89,45.17,6.2,471.4,"N,P,K",72.17,73.45,18.54,11.91,Red Soil
23,48,16,19.81,73.45,7.2,265.24,"N,P,K",79.34,88.18,13.94,16.9,Red Soil
75,44,53,31.55,72.12,6.09,534.1,N,64.17,86.19,6.21,33,black
90,14,12,19.26,59.43,6.89,633.16,N,47.83,40.34,30.96,22.41,Clay
75,21,38,19.66,46.56,7.18,569.76,"N,P",59.01,42.39,31.89,51.14,Loam
23,46,25,14.9,72.29,7.64,581.98,N,67.8,63.37,48.15,50.22,lime soil
19,25,22,16.39,62.25,5.72,729.21,"N,P,K",65.7,61.03,32.18,5.63,lime soil
72,10,37,38.15,57.11,6.96,207.68,N,62,97.89,5.26,59.49,Clay
98,26,24,28.53,71.42,7.11,477.76,"N,P,K",74.38,54.7,42.43,57.31,sandy
24,14,36,15.96,45.42,6.02,814.71,"N,P,K",59.44,69.93,17.74,34.42,Loam
67,31,42,36.08,55.62,7.07,433.38,"N,P,K",62.12,17.26,15.5,44.42,Alluvial
94,7,29,23.59,48.46,7.86,865.94,"N,P,K",43.48,27.24,39.29,28.45,sandy
10,46,13,20.59,58.68,6.23,618.36,"N,P,K",41.41,80.48,31.59,47.91,lime soil
50,7,32,30.31,78.64,7.11,540.76,N,43.9,64.3,18.49,19.2,sandy
37,28,52,10.92,63.24,6.17,538.51,"N,P",67.54,73.33,18.93,46.35,black
49,38,41,33.88,49.72,5.52,430.28,"N,P,K",47.33,27.09,49.73,47.09,black
31,37,17,17.51,64.03,7.61,685.01,"N,P,K",60,54.22,21.77,40.08,lime soil
81,16,46,29.77,47.4,7.62,684.88,"N,P,K",46.13,49.11,30.12,40.42,sandy
77,28,49,17.99,69.09,6.44,426.52,"N,P,K",60.02,25.2,14.27,33.65,lime soil
84,37,30,27.43,54.42,6.99,490.06,"N,P,K",74.29,87.23,38.43,9.01,lime soil
34,29,56,36.39,65.44,6.28,847.57,"N,P,K",78.28,19.49,47.45,34.97,silt
75,15,45,28.83,88.53,6.44,324.15,"N,P,K",46.49,98.87,40.48,59.26,Loam
74,6,55,39.69,74.61,7.89,842.64,"N,P,K",40.5,90.19,12.69,30.21,black
41,41,42,20.68,82.15,5.81,686.56,"N,P,K",73.76,95.22,23.46,35.58,lime soil
50,39,36,19.27,53.81,7.47,725.54,"N,P,K",60.93,46.28,18.29,38.17,silt
37,12,20,18.83,67.31,7.23,753.73,"N,P,K",61.67,90.51,10.08,18.34,lime soil
62,48,36,35.24,75.84,6.5,713.88,"N,P,K",74,33.57,33.99,50.57,Alluvial
33,35,38,34.24,68.58,6.76,782.96,"N,P,K",76.78,31.83,23.25,23.39,silt
66,40,30,34.05,72.33,6.22,996.67,"N,P,K",69.36,48.05,42.66,28.9,silt
21,38,56,39.53,79.77,5.58,920.38,"N,P,K",49.01,88.3,6.8,23.69,silt
77,20,7,17.76,71.3,7.34,786.1,"N,P,K",68.96,57.04,35.76,9.62,black
18,40,18,38.17,49.62,7.37,657.98,"N,P,K",49.33,82.71,41.5,39.28,black
36,49,6,33.05,80.4,7.17,345.9,"N,P,K",42.98,42.14,42.91,9.37,Clay
20,5,14,12.68,89.26,6.94,379.19,"N,P,K",41.57,28.75,28.57,25.86,Loam
22,14,6,24.33,53.6,7.59,218.84,"N,P,K",59.22,54.82,7.33,18.73,sandy
22,41,28,11.35,73.44,7.19,980.54,"N,P,K",71.58,78.14,44.12,39.06,Loam
72,11,20,39.44,70.53,6.23,849.97,N,74.44,96.13,25.64,41.06,sandy
48,23,13,15.19,84.15,6.64,331.31,"N,P,K",50.24,30.48,7.33,20.33,silt
59,27,56,13.31,44.91,5.95,832.69,N,75.13,84.59,10.03,48.24,Alluvial
85,32,47,36.05,75.26,5.91,730.29,"N,P,K",41.21,49.49,25.64,6.87,Alluvial
62,30,15,27.35,69.98,6.35,734.17,"N,P,K",48.19,97.83,32.11,18.14,sandy
35,43,58,37.72,56.93,7.55,552.65,N,57.78,29.98,6.52,49.09,Red Soil
51,42,44,21.04,73.62,6.59,640.85,"N,P,K",56.57,85.31,36.2,13.63,Alluvial
79,33,35,30.41,66.41,6.85,211.45,N,65.45,47.92,40.55,50.73,Red Soil
29,30,14,36.84,49.18,5.89,446.89,"N,P,K",61.04,65.25,9.87,26.36,Alluvial
97,48,6,32.92,44.63,6.56,349.75,"N,P,K",42.51,97.93,32.87,54.87,Red Soil
92,27,15,39.78,46.69,5.97,588.31,"N,P,K",49.81,46.9,36.7,32.65,lime soil
74,21,45,27.8,77.88,6.28,398.56,"N,P,K",78.44,38.27,25.29,30.45,Clay
60,21,6,11.25,71,5.67,441.67,"N,P,K",57.98,63.84,13.61,11.38,sandy
17,42,39,28.79,77.64,7.21,993.04,"N,P,K",45.02,92.74,31.14,30.05,Loam
26,12,30,20.18,52.77,6.28,363.39,"N,P",58.73,74.36,17.56,6.6,Alluvial
85,29,27,16.19,47.4,7.2,287.05,"N,P,K",40.84,35.46,9.33,34.59,silt
55,19,31,35.83,58.15,5.58,573.35,"N,P,K",74.12,70.51,12.12,45.14,Clay
96,42,23,24.16,60.46,7.67,952,"N,P,K",65.41,95.23,46.71,18.91,Red Soil
74,47,11,37.42,45.55,5.85,219.51,"N,P,K",42.2,76.88,37.56,6.68,silt
15,9,21,21.95,40.98,7.35,749.65,"N,P,K",67.33,79.61,30.8,50.35,Clay
48,37,54,24.43,62.15,6.57,752.99,N,75.55,41.36,14.42,25.87,sandy
53,17,32,32.99,70.7,6.4,656.96,"N,P,K",48.78,61.65,22.08,10.68,sandy
47,38,43,35.12,54.31,5.76,876.38,"N,P,K",40.74,15.76,48.23,29.22,Loam
75,19,54,17.13,85.91,6.83,942.13,"N,P,K",48.49,13.16,45.01,58.5,sandy
71,22,39,17.8,59.44,5.75,532.24,N,55.39,12.27,33.75,10.84,Red Soil
63,27,20,18.5,82.94,6.11,489.14,"N,P,K",62.11,25.14,27.64,13.27,Alluvial
16,5,54,27.01,75.34,7.23,728.48,"N,P",61.25,71.88,32.1,21.65,black
99,26,45,28.71,77.82,7.68,277.29,N,67.67,91.67,26.04,36.98,black
57,38,48,31.7,82.17,7.07,732.5,"N,P",47.26,95.45,15.3,45.38,lime soil
58,38,9,37.34,56.27,7.45,486.75,"N,P,K",59.12,47.93,8.45,15.41,black
73,43,59,16.18,50.24,7.52,786.25,"N,P,K",55.15,98.13,46.59,44.06,Loam
57,44,20,22.57,69.7,6.09,422.4,"N,P,K",56.1,36.93,11.93,36.82,black
61,8,12,28.11,79.74,5.96,754.63,"N,P,K",45.94,90.99,17.14,22.81,black
67,37,58,39.33,55.56,7.37,956.9,N,69.71,32.2,38.93,11.78,Loam
18,8,47,26.54,76.97,5.98,554.8,"N,P,K",49.3,84.61,5.03,50.37,Red Soil
15,14,7,34.65,87.16,5.91,449.24,"N,P,K",73.87,13.97,14.46,52.6,sandy
22,39,53,24.04,77.4,6.83,365.45,"N,P,K",79.96,68.29,43.8,42.49,sandy
73,20,37,13.37,63.65,7.54,546.12,"N,P,K",53.62,48.16,36.05,12.1,Loam
22,41,33,25.62,81.93,5.51,764.43,"N,P,K",68.53,74.83,9.43,35.52,Red Soil
76,49,16,38.45,85.5,6.83,721.29,"N,P",78.37,85.82,46.31,28.97,silt
34,19,44,30.43,41.36,6.23,701.18,"N,P,K",45.74,22.07,9.39,23.43,sandy
46,21,6,25.33,64.2,6.43,673.26,N,60.37,69.66,21.48,40.45,Red Soil
26,43,44,27.27,57.06,7.06,307.98,"N,P,K",64.98,43.41,8.72,40.98,Alluvial
78,22,19,30.94,70.29,5.76,760.68,N,43.29,65.34,14.05,43.4,Clay
33,41,25,23.67,47.15,7.14,554.2,"N,P,K",53.06,19.19,26.06,18.38,lime soil
81,43,58,21.72,56.17,7.76,841.25,"N,P",66.13,24.88,37.54,27.74,Red Soil
